hand,avg_reward,win_rate
500,-0.919,0.002
1000,-0.851,0.002
1500,-0.717,0.006
2000,-0.805,0.006
2500,-0.709,0.004
3000,-0.785,0.006
3500,-0.733,0.006
4000,-0.718,0.002
4500,-0.666,0.01
5000,-0.746,0.0
5500,-0.715,0.008
6000,-0.786,0.004
6500,-0.701,0.002
7000,-0.739,0.004
7500,-0.723,0.006
8000,-0.797,0.008
8500,-0.648,0.008
9000,-0.693,0.01
9500,-0.732,0.008
10000,-0.794,0.004
10500,-0.832,0.006
11000,-0.86,0.002
11500,-0.677,0.01
12000,-0.72,0.0
12500,-0.664,0.014
13000,-0.68,0.01
13500,-0.721,0.012
14000,-0.723,0.008
14500,-0.721,0.012
15000,-0.818,0.008
15500,-0.672,0.006
16000,-0.734,0.008
16500,-0.825,0.004
17000,-0.768,0.01
17500,-0.739,0.008
18000,-0.608,0.01
18500,-0.672,0.024
19000,-0.611,0.02
19500,-0.761,0.006
20000,-0.817,0.012
20500,-0.784,0.004
21000,-0.711,0.01
21500,-0.782,0.01
22000,-0.725,0.006
22500,-0.675,0.014
23000,-0.756,0.012
23500,-0.678,0.016
24000,-0.658,0.002
24500,-0.735,0.01
25000,-0.741,0.016
