hand,avg_reward,win_rate
500,-0.704,0.002
1000,-0.616,0.006
1500,-0.806,0.004
2000,-0.821,0.0
2500,-0.683,0.006
3000,-0.801,0.004
3500,-0.746,0.002
4000,-0.772,0.004
4500,-0.665,0.002
5000,-0.84,0.0
5500,-0.771,0.004
6000,-0.734,0.004
6500,-0.8,0.002
7000,-0.659,0.004
7500,-0.703,0.006
8000,-0.811,0.0
8500,-0.693,0.008
9000,-0.778,0.004
9500,-0.643,0.006
10000,-0.831,0.006
10500,-0.713,0.01
11000,-0.713,0.01
11500,-0.776,0.008
12000,-0.788,0.006
12500,-0.644,0.016
13000,-0.844,0.002
13500,-0.759,0.004
14000,-0.728,0.006
14500,-0.585,0.012
15000,-0.89,0.004
15500,-0.608,0.012
16000,-0.759,0.01
16500,-0.613,0.01
17000,-0.707,0.008
17500,-0.727,0.012
18000,-0.81,0.008
18500,-0.877,0.002
19000,-0.855,0.004
19500,-0.809,0.008
20000,-0.696,0.01
20500,-0.865,0.016
21000,-0.792,0.012
21500,-0.731,0.016
22000,-0.793,0.006
22500,-0.888,0.004
23000,-0.809,0.012
23500,-0.68,0.012
24000,-0.709,0.012
24500,-0.866,0.008
25000,-0.688,0.01
25500,-0.723,0.01
26000,-0.612,0.016
26500,-0.743,0.01
27000,-0.695,0.012
27500,-0.726,0.008
28000,-0.668,0.026
28500,-0.715,0.018
29000,-0.692,0.012
29500,-0.705,0.018
30000,-0.692,0.014
30500,-0.575,0.026
31000,-0.737,0.016
31500,-0.787,0.016
32000,-0.818,0.014
32500,-0.584,0.016
33000,-0.673,0.012
33500,-0.718,0.014
34000,-0.743,0.016
34500,-0.787,0.01
35000,-0.71,0.012
35500,-0.834,0.014
36000,-0.801,0.008
36500,-0.724,0.022
37000,-0.673,0.016
37500,-0.732,0.022
38000,-0.735,0.028
38500,-0.733,0.008
39000,-0.664,0.022
39500,-0.827,0.014
40000,-0.786,0.014
40500,-0.72,0.01
41000,-0.765,0.012
41500,-0.698,0.018
42000,-0.774,0.012
42500,-0.678,0.018
43000,-0.762,0.024
43500,-0.729,0.014
44000,-0.745,0.024
44500,-0.705,0.014
45000,-0.745,0.014
45500,-0.72,0.02
46000,-0.629,0.018
46500,-0.721,0.012
47000,-0.742,0.02
47500,-0.581,0.028
48000,-0.582,0.034
48500,-0.708,0.026
49000,-0.767,0.026
49500,-0.648,0.022
50000,-0.746,0.03
50500,-0.758,0.016
51000,-0.606,0.034
51500,-0.748,0.016
52000,-0.629,0.022
52500,-0.796,0.014
53000,-0.732,0.024
53500,-0.723,0.024
54000,-0.686,0.032
54500,-0.811,0.026
55000,-0.689,0.026
55500,-0.747,0.024
56000,-0.677,0.032
56500,-0.864,0.022
57000,-0.769,0.024
57500,-0.658,0.024
58000,-0.578,0.044
58500,-0.649,0.038
59000,-0.688,0.044
59500,-0.765,0.036
60000,-0.622,0.028
60500,-0.689,0.038
61000,-0.602,0.034
61500,-0.566,0.048
62000,-0.577,0.038
62500,-0.68,0.032
63000,-0.744,0.038
63500,-0.79,0.016
64000,-0.65,0.046
64500,-0.614,0.026
65000,-0.819,0.032
65500,-0.638,0.042
66000,-0.567,0.034
66500,-0.669,0.04
67000,-0.683,0.032
67500,-0.683,0.03
68000,-0.634,0.042
68500,-0.472,0.038
69000,-0.647,0.028
69500,-0.641,0.046
70000,-0.812,0.036
70500,-0.478,0.056
71000,-0.796,0.04
71500,-0.598,0.032
72000,-0.669,0.058
72500,-0.768,0.038
73000,-0.452,0.044
73500,-0.57,0.048
74000,-0.716,0.044
74500,-0.645,0.042
75000,-0.629,0.052
75500,-0.726,0.036
76000,-0.593,0.034
76500,-0.503,0.066
77000,-0.491,0.058
77500,-0.408,0.062
78000,-0.628,0.068
78500,-0.576,0.06
79000,-0.649,0.054
79500,-0.604,0.064
80000,-0.499,0.062
80500,-0.639,0.048
81000,-0.567,0.056
81500,-0.508,0.048
82000,-0.452,0.074
82500,-0.652,0.044
83000,-0.712,0.046
83500,-0.651,0.056
84000,-0.484,0.058
84500,-0.577,0.06
85000,-0.609,0.058
85500,-0.704,0.054
86000,-0.578,0.06
86500,-0.78,0.044
87000,-0.424,0.066
87500,-0.585,0.056
88000,-0.405,0.056
88500,-0.479,0.068
89000,-0.537,0.072
89500,-0.583,0.082
90000,-0.521,0.076
90500,-0.473,0.064
91000,-0.421,0.064
91500,-0.561,0.07
92000,-0.553,0.078
92500,-0.636,0.056
93000,-0.514,0.05
93500,-0.503,0.056
94000,-0.551,0.06
94500,-0.632,0.062
95000,-0.458,0.076
95500,-0.621,0.056
96000,-0.332,0.074
96500,-0.604,0.056
97000,-0.662,0.056
97500,-0.588,0.066
98000,-0.554,0.066
98500,-0.557,0.08
99000,-0.515,0.086
99500,-0.386,0.078
100000,-0.63,0.072
100500,-0.561,0.068
101000,-0.445,0.086
101500,-0.542,0.072
102000,-0.574,0.08
102500,-0.568,0.074
103000,-0.34,0.082
103500,-0.603,0.072
104000,-0.498,0.068
104500,-0.482,0.086
105000,-0.434,0.074
105500,-0.466,0.088
106000,-0.452,0.076
106500,-0.474,0.074
107000,-0.524,0.078
107500,-0.48,0.074
108000,-0.622,0.052
108500,-0.69,0.08
109000,-0.371,0.092
109500,-0.647,0.068
110000,-0.487,0.11
110500,-0.48,0.088
111000,-0.595,0.062
111500,-0.353,0.106
112000,-0.55,0.082
112500,-0.47,0.07
113000,-0.449,0.094
113500,-0.362,0.088
114000,-0.468,0.09
114500,-0.39,0.094
115000,-0.451,0.102
115500,-0.726,0.058
116000,-0.451,0.096
116500,-0.642,0.104
117000,-0.518,0.078
117500,-0.284,0.094
118000,-0.326,0.102
118500,-0.384,0.1
119000,-0.515,0.09
119500,-0.421,0.106
120000,-0.501,0.092
120500,-0.449,0.11
121000,-0.283,0.112
121500,-0.486,0.098
122000,-0.395,0.11
122500,-0.324,0.096
123000,-0.426,0.102
123500,-0.518,0.094
124000,-0.331,0.096
124500,-0.457,0.098
125000,-0.539,0.094
125500,-0.626,0.098
126000,-0.618,0.082
126500,-0.543,0.094
127000,-0.559,0.098
127500,-0.479,0.09
128000,-0.389,0.106
128500,-0.428,0.114
129000,-0.468,0.088
129500,-0.389,0.104
130000,-0.424,0.102
130500,-0.441,0.084
131000,-0.518,0.084
131500,-0.247,0.13
132000,-0.379,0.1
132500,-0.484,0.12
133000,-0.249,0.13
133500,-0.427,0.088
134000,-0.491,0.104
134500,-0.417,0.1
135000,-0.356,0.112
135500,-0.232,0.122
136000,-0.23,0.126
136500,-0.385,0.088
137000,-0.615,0.1
137500,-0.464,0.112
138000,-0.141,0.126
138500,-0.45,0.106
139000,-0.329,0.134
139500,-0.312,0.138
140000,-0.242,0.128
140500,-0.38,0.146
141000,-0.242,0.128
141500,-0.478,0.084
142000,-0.305,0.108
142500,-0.238,0.122
143000,-0.366,0.116
143500,-0.441,0.118
144000,-0.231,0.108
144500,-0.288,0.134
145000,-0.448,0.106
